fund_code,fund_name,report_date,stock_code,stock_name,weight,status
001629,天弘中证计算机指数A,2026-06-30,301308,江波龙,0.3,ok
001629,天弘中证计算机指数A,2026-06-30,603019,中科曙光,0.26,ok
001629,天弘中证计算机指数A,2026-06-30,2415,海康威视,0.21,ok
001629,天弘中证计算机指数A,2026-06-30,300857,协创数据,0.19,ok
001629,天弘中证计算机指数A,2026-06-30,2230,科大讯飞,0.13,ok
001629,天弘中证计算机指数A,2026-06-30,938,紫光股份,0.12,ok
001629,天弘中证计算机指数A,2026-06-30,300033,同花顺,0.12,ok
001629,天弘中证计算机指数A,2026-06-30,977,浪潮信息,0.12,ok
001629,天弘中证计算机指数A,2026-06-30,21,深科技,0.12,ok
001629,天弘中证计算机指数A,2026-06-30,300442,润泽科技,0.11,ok
004813,中欧先进制造股票C,2026-06-30,300750,宁德时代,0.0854,ok
004813,中欧先进制造股票C,2026-06-30,300274,阳光电源,0.0837,ok
004813,中欧先进制造股票C,2026-06-30,338,潍柴动力,0.0503,ok
004813,中欧先进制造股票C,2026-06-30,2028,思源电气,0.0476,ok
004813,中欧先进制造股票C,2026-06-30,300014,亿纬锂能,0.0445,ok
004813,中欧先进制造股票C,2026-06-30,605117,德业股份,0.0375,ok
004813,中欧先进制造股票C,2026-06-30,2709,天赐材料,0.0313,ok
004813,中欧先进制造股票C,2026-06-30,603659,璞泰来,0.0281,ok
004813,中欧先进制造股票C,2026-06-30,2759,ST天际,0.028,ok
004813,中欧先进制造股票C,2026-06-30,600522,中天科技,0.025,ok
004855,广发中证全指汽车指数C,2026-06-30,2594,比亚迪,0.1605,ok
004855,广发中证全指汽车指数C,2026-06-30,601127,赛力斯,0.0943,ok
004855,广发中证全指汽车指数C,2026-06-30,600418,江淮汽车,0.085,ok
004855,广发中证全指汽车指数C,2026-06-30,600104,上汽集团,0.0845,ok
004855,广发中证全指汽车指数C,2026-06-30,600066,宇通客车,0.0705,ok
004855,广发中证全指汽车指数C,2026-06-30,625,长安汽车,0.067,ok
004855,广发中证全指汽车指数C,2026-06-30,300201,海伦哲,0.0421,ok
004855,广发中证全指汽车指数C,2026-06-30,601633,长城汽车,0.0373,ok
004855,广发中证全指汽车指数C,2026-06-30,600733,北汽蓝谷,0.0299,ok
004855,广发中证全指汽车指数C,2026-06-30,338,潍柴动力,0.0276,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,603986,兆易创新,0.0935,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688256,寒武纪,0.0864,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,2371,北方华创,0.0667,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688008,澜起科技,0.0615,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688012,中微公司,0.0605,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688041,海光信息,0.0597,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688981,中芯国际,0.055,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688525,佰维存储,0.0308,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,688072,拓荆科技,0.0277,ok
008282,国泰CES半导体芯片行业ETF联接C,2026-06-30,300604,长川科技,0.0259,ok
009645,东方阿尔法优势产业混合C,2026-06-30,300502,新易盛,0.091,ok
009645,东方阿尔法优势产业混合C,2026-06-30,300308,中际旭创,0.0846,ok
009645,东方阿尔法优势产业混合C,2026-06-30,300548,长芯博创,0.068,ok
009645,东方阿尔法优势产业混合C,2026-06-30,2384,东山精密,0.063,ok
009645,东方阿尔法优势产业混合C,2026-06-30,2281,光迅科技,0.0588,ok
009645,东方阿尔法优势产业混合C,2026-06-30,688025,杰普特,0.0532,ok
009645,东方阿尔法优势产业混合C,2026-06-30,688313,仕佳光子,0.0528,ok
009645,东方阿尔法优势产业混合C,2026-06-30,600549,厦门钨业,0.0498,ok
009645,东方阿尔法优势产业混合C,2026-06-30,688603,天承科技,0.0498,ok
009645,东方阿尔法优势产业混合C,2026-06-30,2916,深南电路,0.0468,ok
011323,国泰智能汽车股票C,2026-06-30,300750,宁德时代,0.0693,ok
011323,国泰智能汽车股票C,2026-06-30,688279,峰岹科技,0.0586,ok
011323,国泰智能汽车股票C,2026-06-30,300037,新宙邦,0.0575,ok
011323,国泰智能汽车股票C,2026-06-30,603179,新泉股份,0.0541,ok
