fund_code,fund_name,buy_nav,shares,buy_date,note
001629,天弘中证计算机指数A,,,,
004813,中欧先进制造股票C,,,,
004855,广发中证全指汽车指数C,,,,
008282,国泰CES半导体芯片行业ETF联接C,,,,
009645,东方阿尔法优势产业混合C,,,,
011323,国泰智能汽车股票C,,,,
011609,易方达上证科创50ETF联接C,,,,
012734,易方达中证人工智能主题ETF联接C,,,,
014143,银河创新混合C,,,,
014419,西部利得CES芯片指数增强C,,,,
015751,景顺长城品质长青混合C,,,,
015902,博时优质精选混合A,,,,
017811,东方人工智能主题混合C,,,,
018927,南方中证电池主题ETF发起联接C,,,,
018957,中航机遇领航混合发起C,,,,
018994,中欧数字经济混合发起C,,,,
020900,天弘中证全指通信设备指数发起C,,,,
023536,博时中证金融科技主题ETF联接A,,,,
161028,富国中证新能源汽车指数,,,,
